# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
46 1.1375 1.98571 5.0756
47 1.1625 1.78339 5.71465
48 1.1875 1.60673 6.31543
49 1.2125 1.42264 6.87
50 1.2375 1.30393 7.39947
51 1.2625 1.17206 7.89482
52 1.2875 1.07375 8.36678
53 1.3125 0.967115 8.80852
54 1.3375 0.909164 9.23978
55 1.3625 0.85051 9.65843
56 1.3875 0.803731 10.0687
57 1.4125 0.765562 10.4737
58 1.4375 0.735333 10.8766
59 1.4625 0.709527 11.279
60 1.4875 0.700878 11.6902
61 1.5125 0.686102 12.1064
62 1.5375 0.681362 12.5335
63 1.5625 0.691864 12.9813
64 1.5875 0.698305 13.448
65 1.6125 0.695495 13.9274
66 1.6375 0.721961 14.4407
67 1.6625 0.754378 14.9936
68 1.6875 0.769309 15.5745
69 1.7125 0.810444 16.2047
70 1.7375 0.840602 16.8776
71 1.7625 0.871771 17.5956
72 1.7875 0.924044 18.3785
73 1.8125 0.961325 19.2158
74 1.8375 1.00005 20.1111
75 1.8625 1.03622 21.0642
76 1.8875 1.07308 22.0779
77 1.9125 1.11223 23.1566
78 1.9375 1.1462 24.2975
79 1.9625 1.17097 25.4932
80 1.9875 1.18765 26.7372
81 2.0125 1.21252 28.0393
82 2.0375 1.20287 29.3634
83 2.0625 1.19968 30.7165
84 2.0875 1.19252 32.0944
85 2.1125 1.18252 33.4936
86 2.1375 1.15088 34.8879
87 2.1625 1.11825 36.2744
88 2.1875 1.10545 37.677
89 2.2125 1.07331 39.0701
90 2.2375 1.04343 40.4552
91 2.2625 1.02437 41.8456
92 2.2875 0.997865 43.23
93 2.3125 0.977006 44.6153
94 2.3375 0.956513 46.0011
95 2.3625 0.928978 47.3759
96 2.3875 0.920575 48.7673
97 2.4125 0.914716 50.1789
98 2.4375 0.903429 51.6021
99 2.4625 0.902266 53.0528
100 2.4875 0.901928 54.5325
